resnet_model/conv2d_24/kernel/Momentum	VariableV2	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(1x1x512x1024)'], 0, 2, 3]}
resnet_model/batch_normalization_32/AssignMovingAvg	AssignSub	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(256x1)', '(256x1)'], ['(256x1)'], 0, 12, 15], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 2, 2], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 2, 2]}
ConstantFolding/gradients/resnet_model/conv2d_11/Conv2D_grad/ShapeN-matshapes-1	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(int32 4x1)'], 0, 1, 2]}
resnet_model/batch_normalization_7/moving_mean	VariableV2	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(64x1)'], 0, 2, 3]}
resnet_model/batch_normalization_42/AssignMovingAvg	AssignSub	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(2048x1)', '(2048x1)'], ['(2048x1)'], 1, 9, 12], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 2, 2], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 2, 2]}
resnet_model/batch_normalization_23/AssignMovingAvg/sub_1	Sub	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(256x1)', '(256x1)'], ['(256x1)'], 1, 16, 19], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 2, 2], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 2, 2]}
Momentum/update_resnet_model/batch_normalization_26/gamma/ApplyMomentum	ApplyMomentum	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(256x1)', '(256x1)', '(1x1)', '(int32 1x1 slot 1 slot )', '(256x1)', '(1x1)'], ['(256x1)'], 0, 14, 16], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 4, 4], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 4, 4]}
resnet_model/conv2d_48/kernel/Momentum	VariableV2	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(3x3x512x512)'], 1, 2, 4]}
resnet_model/batch_normalization_44/AssignMovingAvg	AssignSub	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(512x1)', '(512x1)'], ['(512x1)'], 0, 11, 13], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 2, 2], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 2, 2]}
resnet_model/batch_normalization_48/AssignMovingAvg_1/sub_1	Sub	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(2048x1)', '(2048x1)'], ['(2048x1)'], 1, 7, 10], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 2, 2], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 2, 2]}
